OBJECTID,DepartmentCode,KGISVillageID,KGISWardID,KGISCode,KGISPOL_STAID,POL_STAName,KGISPSCode,latitude,longitude
151,164430268,15322,,29572055426128970000HMPOLPUOFFPOS0001,126,Chikkajala PS,PS - 126,13.1732849997572,77.6332139995524
153,164431818,15390,,29572055428031620000HMPOLPUOFFPOS0043,128,Amruthahally PS,PS - 128,13.0568580000581,77.5985649995896
154,164431875,21419,,29572055428031620000HMPOLPUOFFPOS0044,129,Kothanur PS,PS - 129,13.0555134900539,77.6464059600349
155,164431874,15426,,29572055428031620000HMPOLPUOFFPOS0045,130,Sampigehalli PS,PS - 130,13.0753290001411,77.6333430004523
156,164431873,15413,,29572055428031620000HMPOLPUOFFPOS0046,131,Kodigehalli PS,PS - 131,13.0621039996126,77.5740659996586
157,164431356,15447,,29572055428031620000HMPOLPUOFFPOS0047,132,Yelahanka New Town PS,PS - 132,13.0999964496935,77.5838171135637
158,164431355,15447,,29572055428031620000HMPOLPUOFFPOS0048,133,Yelahanka PS,PS - 133,13.0948982140093,77.594093907309
159,164431375,15721,,29572055428031620000HMPOLPUOFFPOS0049,134,Banashankari PS,PS - 134,12.9292740000901,77.5679710003444
160,164431376,30092,,29572055428031620000HMPOLPUOFFPOS0050,135,Basavanagudi PS,PS - 135,12.9419994209918,77.5742406181053
161,164431372,15720,,29572055428031620000HMPOLPUOFFPOS0051,136,Jayanagar PS,PS - 136,12.9285749996732,77.5813879997279
162,164431373,15707,,29572055428031620000HMPOLPUOFFPOS0052,137,Jayaprakash Nagar PS,PS - 137,12.9118000000068,77.5876000003785
163,164431385,15153,,29572055428031620000HMPOLPUOFFPOS0053,138,Siddapura PS,PS - 138,12.9396290002763,77.5941780002841
164,164431377,15721,,29572055428031620000HMPOLPUOFFPOS0054,139,Basavanagudi Women PS,PS - 139,12.9290081004219,77.5678107000166
165,164432202,15703,,29572055428031620000HMPOLPUOFFPOS0055,140,Konanakunte PS,PS - 140,12.8839319997207,77.56640799997
166,164431378,15696,,29572055428031620000HMPOLPUOFFPOS0056,141,Kumaraswamy Layout PS,PS - 141,12.9053291296562,77.5632979997497
